    i          rs           x          Q2       sigma        stat        syst        norm
  307      44.7213595       0.0012900       1.2900000       0.0000000       0.0026721       1.5000000       2.5000000
  308      44.7213595       0.0020500       1.2900000       0.0000000       0.0025583       1.5000000       2.5000000
  309      44.7213595       0.0020500       2.0500000       0.0000000       0.0033520       1.5000000       2.5000000
  310      44.7213595       0.0032500       1.2900000       0.0000000       0.0025140       1.5000000       2.5000000
  311      44.7213595       0.0032500       2.0500000       0.0000000       0.0031939       1.5000000       2.5000000
  312      44.7213595       0.0032500       3.2500000       0.4643762       0.0040161       1.5000000       2.5000000
  313      44.7213595       0.0051500       1.2900000       0.0000000       0.0025140       1.5000000       2.5000000
  314      44.7213595       0.0051500       2.0500000       0.0000000       0.0031275       1.5000000       2.5000000
  315      44.7213595       0.0051500       3.2500000       0.4309109       0.0038264       1.5000000       2.5000000
  316      44.7213595       0.0051500       5.1500000       0.4987708       0.0049015       1.5000000       2.5000000
  317      44.7213595       0.0081500       1.2900000       0.0000000       0.0025361       1.5000000       2.5000000
  318      44.7213595       0.0081500       2.0500000       0.0000000       0.0031243       1.5000000       2.5000000
  319      44.7213595       0.0081500       3.2500000       0.4269530       0.0037631       1.5000000       2.5000000
  320      44.7213595       0.0081500       5.1500000       0.4647107       0.0047118       1.5000000       2.5000000
  321      44.7213595       0.0081500       8.1500000       0.4942339       0.0061032       1.5000000       2.5000000
  322      44.7213595       0.0129000       1.2900000       0.0000000       0.0025709       1.5000000       2.5000000
  323      44.7213595       0.0129000       2.0500000       0.0000000       0.0031528       1.5000000       2.5000000
  324      44.7213595       0.0129000       3.2500000       0.4040432       0.0037631       1.5000000       2.5000000
  325      44.7213595       0.0129000       5.1500000       0.4589996       0.0046169       1.5000000       2.5000000
  326      44.7213595       0.0129000       8.1500000       0.5003910       0.0058818       1.5000000       2.5000000
  327      44.7213595       0.0129000      12.9000000       0.5199874       0.0077476       1.5000000       2.5000000
  328      44.7213595       0.0205000       1.2900000       0.0000000       0.0026152       1.5000000       2.5000000
  329      44.7213595       0.0205000       2.0500000       0.0000000       0.0031939       1.5000000       2.5000000
  330      44.7213595       0.0205000       3.2500000       0.3698347       0.0037947       1.5000000       2.5000000
  331      44.7213595       0.0205000       5.1500000       0.4165844       0.0046169       1.5000000       2.5000000
  332      44.7213595       0.0205000       8.1500000       0.4642350       0.0057870       1.5000000       2.5000000
