    i          rs           x          Q2       sigma        stat        syst        norm
  181      63.2455532       0.0008150       1.2900000       0.0000000       0.0024571       1.5000000       2.5000000
  182      63.2455532       0.0012900       1.2900000       0.0000000       0.0023907       1.5000000       2.5000000
  183      63.2455532       0.0012900       2.0500000       0.0000000       0.0030611       1.5000000       2.5000000
  184      63.2455532       0.0020500       1.2900000       0.0000000       0.0023812       1.5000000       2.5000000
  185      63.2455532       0.0020500       2.0500000       0.0000000       0.0029852       1.5000000       2.5000000
  186      63.2455532       0.0020500       3.2500000       0.4916079       0.0036682       1.5000000       2.5000000
  187      63.2455532       0.0032500       1.2900000       0.0000000       0.0024065       1.5000000       2.5000000
  188      63.2455532       0.0032500       2.0500000       0.0000000       0.0029725       1.5000000       2.5000000
  189      63.2455532       0.0032500       3.2500000       0.4987763       0.0035734       1.5000000       2.5000000
  190      63.2455532       0.0032500       5.1500000       0.5739472       0.0044904       1.5000000       2.5000000
  191      63.2455532       0.0051500       1.2900000       0.0000000       0.0024476       1.5000000       2.5000000
  192      63.2455532       0.0051500       2.0500000       0.0000000       0.0029947       1.5000000       2.5000000
  193      63.2455532       0.0051500       3.2500000       0.4272412       0.0035734       1.5000000       2.5000000
  194      63.2455532       0.0051500       5.1500000       0.4951627       0.0043956       1.5000000       2.5000000
  195      63.2455532       0.0051500       8.1500000       0.5723296       0.0055972       1.5000000       2.5000000
  196      63.2455532       0.0081500       1.2900000       0.0000000       0.0024982       1.5000000       2.5000000
  197      63.2455532       0.0081500       2.0500000       0.0000000       0.0030421       1.5000000       2.5000000
  198      63.2455532       0.0081500       3.2500000       0.4333734       0.0036050       1.5000000       2.5000000
  199      63.2455532       0.0081500       5.1500000       0.4750608       0.0043639       1.5000000       2.5000000
  200      63.2455532       0.0081500       8.1500000       0.5132394       0.0054707       1.5000000       2.5000000
  201      63.2455532       0.0081500      12.9000000       0.5561792       0.0070519       1.5000000       2.5000000
  202      63.2455532       0.0129000       1.2900000       0.0000000       0.0025583       1.5000000       2.5000000
  203      63.2455532       0.0129000       2.0500000       0.0000000       0.0031022       1.5000000       2.5000000
  204      63.2455532       0.0129000       3.2500000       0.4126020       0.0036682       1.5000000       2.5000000
  205      63.2455532       0.0129000       5.1500000       0.4625531       0.0044272       1.5000000       2.5000000
  206      63.2455532       0.0129000       8.1500000       0.4982496       0.0054707       1.5000000       2.5000000
  207      63.2455532       0.0129000      12.9000000       0.5234899       0.0069254       1.5000000       2.5000000
  208      63.2455532       0.0129000      20.5000000       0.5472159       0.0090441       1.5000000       2.5000000
  209      63.2455532       0.0205000       1.2900000       0.0000000       0.0026120       1.5000000       2.5000000
  210      63.2455532       0.0205000       2.0500000       0.0000000       0.0031623       1.5000000       2.5000000
  211      63.2455532       0.0205000       3.2500000       0.3906078       0.0037315       1.5000000       2.5000000
  212      63.2455532       0.0205000       5.1500000       0.4360825       0.0045221       1.5000000       2.5000000
  213      63.2455532       0.0205000       8.1500000       0.4693193       0.0055340       1.5000000       2.5000000
  214      63.2455532       0.0205000      12.9000000       0.4891658       0.0069570       1.5000000       2.5000000
  215      63.2455532       0.0205000      20.5000000       0.5035695       0.0089492       1.5000000       2.5000000
  216      63.2455532       0.0205000      32.5000000       0.5205617       0.0117953       1.5000000       2.5000000
  217      63.2455532       0.0325000       1.2900000       0.0000000       0.0026626       2.5000000       2.5000000
  218      63.2455532       0.0325000       2.0500000       0.0000000       0.0032255       1.5000000       2.5000000
  219      63.2455532       0.0325000       3.2500000       0.3852778       0.0037947       1.5000000       2.5000000
  220      63.2455532       0.0325000       5.1500000       0.4158287       0.0046169       1.5000000       2.5000000
  221      63.2455532       0.0325000       8.1500000       0.4340231       0.0056605       1.5000000       2.5000000
  222      63.2455532       0.0325000      12.9000000       0.4432468       0.0070835       1.5000000       2.5000000
  223      63.2455532       0.0325000      20.5000000       0.4530021       0.0089809       1.5000000       2.5000000
  224      63.2455532       0.0325000      32.5000000       0.4710595       0.0116372       1.5000000       2.5000000
  225      63.2455532       0.0325000      51.5000000       0.4983951       0.0154952       1.5000000       2.5000000
  226      63.2455532       0.0515000       1.2900000       0.0000000       0.0027132       2.5000000       2.5000000
